_idx,first_name,_company_name,_company_website,_country,primary_service,sub_industry,client_profile,matrix_key,matrix_pain_used,custom_personalisation,full_email
0,,First Logistics,,,executive_search,pharma,mixed_types,executive_search__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

can plug you into the deal flow if you want"
1,,allectio consulting group,,,executive_search,it_services,enterprise_private,executive_search__it_services,finding a GM who can actually grow revenue not just manage delivery,figured i'd reach out - i talk to a lot of IT services CEOs and they keep saying they can't find a GM who actually grows revenue,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT services CEOs and they keep saying they can't find a GM who actually grows revenue

can plug you into the deal flow if you want"
2,,Marksmen,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
3,,Sowelo Consulting sp. z o.o. sp. k.,,,executive_search,it_services,vc_early,executive_search__it_services,finding a GM who can actually grow revenue not just manage delivery,figured i'd reach out - i talk to a lot of CEOs in IT services and they keep saying they can't find a GM who actually grows revenue,"your name came up on my end,

figured i'd reach out - i talk to a lot of CEOs in IT services and they keep saying they can't find a GM who actually grows revenue

can plug you into the deal flow if you want"
4,,Tripsitta Ltd,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
5,,Rosman Talent Solutions SRL,,,executive_search,null,unknown_type,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
6,,SjukvårdsMäklarna Sverige AB,,,staffing,hospitals,enterprise_public,staffing__hospitals,can't fill last-minute shifts without paying agency premiums,figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums

can plug you into the deal flow if you want"
7,,WE CARE,,,staffing,hospitals,mixed_types,staffing__hospitals,can't fill last-minute shifts without paying agency premiums,figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums

can plug you into the deal flow if you want"
8,,1dea,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave

can plug you into the deal flow if you want"
9,,Violet Consulting Ltd.,,,permanent_recruiting,ai_ml,mixed_types,permanent_recruiting__ai_ml,everyone wants ML engineers but nobody can find ones who ship,figured i'd reach out - i talk to a lot of CTOs in AI and they keep saying they can't find ML engineers who actually ship on time,"your name came up on my end,

figured i'd reach out - i talk to a lot of CTOs in AI and they keep saying they can't find ML engineers who actually ship on time

can plug you into the deal flow if you want"
10,,Jobufo GmbH,,,sourcing,saas,enterprise_public,sourcing__saas,internal team can reach out but can't find the right people to reach,figured i'd reach out - i talk to a lot of talent leads in SaaS and they keep saying they can't get internal referrals to land the right candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in SaaS and they keep saying they can't get internal referrals to land the right candidates

can plug you into the deal flow if you want"
11,,SoBes App - приложение для HR и рекрутеров,,,unknown,saas,mixed_types,unknown__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they can't find VP Sales who can actually build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they can't find VP Sales who can actually build a team

can plug you into the deal flow if you want"
12,,Lumina Talent Agency,,,sourcing,null,mixed_types,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they always have a thin bench when a req opens,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they always have a thin bench when a req opens

can plug you into the deal flow if you want"
13,,BRANDTY,,,permanent_recruiting,enterprise_software,mixed_types,permanent_recruiting__enterprise_software,finding engineers who know legacy stacks and actually want to work in them,figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who know legacy stacks and actually want to work,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who know legacy stacks and actually want to work

can plug you into the deal flow if you want"
14,,The HeadHunter Global,,,executive_search,null,mixed_types,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
