id,input_id,run_id,data_json,created_at
1,26,3,"{""dreamICP"": ""general counsels at mid-sized law firms"", ""subniche"": ""legal staffing"", ""reasoning"": ""the agency focuses on legal staffing, so I chose law firm decision‑makers who pay for attorneys"", ""company_type"": ""mid-sized law firms"", ""painTheySolve"": ""keep burning weeks on senior associate hires that fall through"", ""clean_company_name"": ""Gibson Arnold & Associates""}",2026-03-23 09:47:02.891972+00
2,27,3,"{""dreamICP"": ""CTOs at mid-market tech firms"", ""subniche"": ""technical recruiting"", ""reasoning"": ""BlackTree serves multiple technical verticals, so I chose tech buyers (CTOs) because senior engineer hiring pain is most acute and specific."", ""company_type"": ""mid-market technology companies"", ""painTheySolve"": ""keep burning weeks on senior engineer hires that fall through"", ""clean_company_name"": ""BlackTree Technical Group""}",2026-03-23 09:47:15.998908+00
3,28,4,"{""dreamICP"": ""CTOs at capital region tech firms"", ""subniche"": ""IT recruiting"", ""reasoning"": ""redShift focuses on technology staffing, so I chose CTOs at local tech firms as the primary buyers who complain about slow senior dev hires"", ""company_type"": ""capital region tech firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""redShift Recruiting""}",2026-03-23 09:48:28.785071+00
4,29,6,"{""dreamICP"": ""CTOs at capital region tech firms"", ""subniche"": ""IT recruiting"", ""reasoning"": ""redShift focuses on technology staffing, so the buyer type is tech decision‑makers like CTOs at local tech firms."", ""company_type"": ""capital region tech firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""redShift Recruiting""}",2026-03-23 09:55:34.014422+00
5,30,6,"{""dreamICP"": ""general counsels at mid-sized law firms"", ""subniche"": ""legal staffing"", ""reasoning"": ""the agency focuses on legal staffing, so we target law firm decision makers who hire lawyers"", ""company_type"": ""mid-sized law firms"", ""painTheySolve"": ""keep burning weeks on senior associate hires that fall through"", ""clean_company_name"": ""Gibson Arnold & Associates""}",2026-03-23 09:55:53.192603+00
6,31,6,"{""dreamICP"": ""plant managers at food manufacturers"", ""subniche"": ""light industrial staffing"", ""reasoning"": ""LaborNowHR serves multiple light‑industrial sectors, so I chose plant managers at food manufacturers because hiring line workers is their most acute, recurring pain."", ""company_type"": ""food manufacturing plants"", ""painTheySolve"": ""keep burning weeks trying to fill line worker shifts with no results"", ""clean_company_name"": ""LaborNowHR""}",2026-03-23 09:56:09.077735+00
7,32,9,"{""dreamICP"": ""CTOs at capital region tech firms"", ""subniche"": ""IT recruiting"", ""reasoning"": ""redShift focuses on technology staffing, so we target the tech decision‑makers who hire IT talent in the Capital Region."", ""company_type"": ""capital region tech firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""redShift Recruiting""}",2026-03-23 13:26:57.579094+00
8,33,9,"{""dreamICP"": ""partners at mid-sized law firms"", ""subniche"": ""legal staffing"", ""reasoning"": ""The agency focuses on legal staffing, so I chose law firm partners as the primary buyers who pay for attorneys."", ""company_type"": ""mid-sized law firms"", ""painTheySolve"": ""keep burning weeks on senior associate hires that fall through"", ""clean_company_name"": ""Gibson Arnold & Associates""}",2026-03-23 13:27:06.656775+00
9,34,9,"{""dreamICP"": ""plant managers at food manufacturing plants"", ""subniche"": ""light industrial staffing"", ""reasoning"": ""LaborNowHR serves food manufacturing, processing, and warehouse clients, so the most acute buyer pain is from plant managers needing reliable line labor."", ""company_type"": ""food manufacturing plants"", ""painTheySolve"": ""keep burning weeks trying to fill line staff with no results"", ""clean_company_name"": ""LaborNowHR""}",2026-03-23 13:27:20.131556+00
10,35,9,"{""dreamICP"": ""CFOs at mid-sized manufacturing firms"", ""subniche"": ""finance and audit recruiting"", ""reasoning"": ""Although Buckingham Search serves many industries, we chose CFOs at mid-sized manufacturing firms because their finance‑focused hiring pain is most explicit in the description"", ""company_type"": ""mid-sized manufacturing firms"", ""painTheySolve"": ""keep burning weeks on senior finance hires that fall through"", ""clean_company_name"": ""Buckingham Search""}",2026-03-23 13:27:33.848768+00
11,36,9,"{""dreamICP"": ""CTOs at mid-market tech firms"", ""subniche"": ""technical recruiting"", ""reasoning"": ""I chose tech decision‑makers because BlackTree focuses on engineering and software talent, making CTO hiring pain the most acute."", ""company_type"": ""mid-market tech firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""BlackTree Technical Group""}",2026-03-23 13:27:52.097419+00
12,37,9,"{""dreamICP"": ""CFOs at regional banks"", ""subniche"": ""finance executive recruiting"", ""reasoning"": ""We chose senior finance leaders at regional banks because AJ Consultants focuses on executive search for banking and finance institutions"", ""company_type"": ""regional banks"", ""painTheySolve"": ""keep burning weeks on senior finance hires that never close"", ""clean_company_name"": ""AJ Consultants""}",2026-03-23 13:28:05.597809+00
13,38,9,"{""dreamICP"": ""CTOs at high-growth tech startups"", ""subniche"": ""technology recruiting"", ""reasoning"": ""Trova serves many industries but its focus on tech leadership hires makes CTOs at high‑growth startups the most acute buyer pain point"", ""company_type"": ""high-growth tech startups"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""Trova""}",2026-03-23 13:28:14.248558+00
14,39,9,"{""dreamICP"": ""CTOs at large telecom carriers"", ""subniche"": ""telecom staffing"", ""reasoning"": ""Engel specializes in telecom IT staffing, so we target the CTOs at large telecom carriers who struggle to fill senior network roles"", ""company_type"": ""large telecom carriers"", ""painTheySolve"": ""keep burning weeks on senior network engineer hires that fall through"", ""clean_company_name"": ""Engel Consulting""}",2026-03-23 13:28:24.626547+00
15,40,9,"{""dreamICP"": ""engineering directors at aerospace and defense firms"", ""subniche"": ""engineering contract staffing"", ""reasoning"": ""the agency serves both software/hardware and life sciences, but the aerospace/defense engineering buyers face especially acute senior‑engineer hiring delays, so I focused on that buyer type"", ""company_type"": ""aerospace and defense contractors"", ""painTheySolve"": ""keep burning weeks on senior engineer hires that fall through"", ""clean_company_name"": ""Carlton National Resources""}",2026-03-23 13:28:34.199339+00
16,41,9,"{""dreamICP"": ""special education directors at school districts"", ""subniche"": ""special education staffing"", ""reasoning"": ""the agency focuses on school districts, so we target the directors who decide on hiring special education staff"", ""company_type"": ""public K-12 school districts"", ""painTheySolve"": ""keep burning weeks trying to fill special education therapist positions"", ""clean_company_name"": ""National Recruiting Consultants""}",2026-03-23 13:28:46.697636+00
17,42,10,"{""dreamICP"": ""CTOs at capital region tech firms"", ""subniche"": ""IT recruiting"", ""reasoning"": ""redShift focuses on tech talent, so the most relevant buyers are CTOs at local technology companies who struggle with senior developer hires"", ""company_type"": ""capital region technology companies"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""redShift Recruiting""}",2026-03-23 18:05:44.252542+00
18,43,10,"{""dreamICP"": ""general counsels at mid-sized law firms"", ""subniche"": ""legal staffing"", ""reasoning"": ""the firm focuses on legal recruiting, so I chose law firm decision‑makers who pay for attorneys"", ""company_type"": ""mid-sized law firms"", ""painTheySolve"": ""keep burning weeks on senior associate hires that fall through"", ""clean_company_name"": ""Gibson Arnold & Associates""}",2026-03-23 18:05:51.48623+00
19,44,10,"{""dreamICP"": ""plant managers at food manufacturing plants"", ""subniche"": ""light industrial staffing"", ""reasoning"": ""LaborNowHR focuses on food manufacturing and warehouse labor, so I chose plant managers who hire line workers as the primary buyer group."", ""company_type"": ""food manufacturing plants"", ""painTheySolve"": ""keep burning weeks on line staff with no results"", ""clean_company_name"": ""LaborNowHR""}",2026-03-23 18:05:58.974741+00
20,45,10,"{""dreamICP"": ""audit directors at mid-market manufacturers"", ""subniche"": ""finance and audit recruiting"", ""reasoning"": ""Because Buckingham Search focuses on audit and finance roles, I chose audit directors at mid‑market manufacturers as the primary buyers who complain about slow senior audit hires."", ""company_type"": ""mid-market manufacturers"", ""painTheySolve"": ""keep burning weeks on senior audit hires that fall through"", ""clean_company_name"": ""Buckingham Search""}",2026-03-23 18:06:07.747077+00
21,46,10,"{""dreamICP"": ""CTOs at mid-market tech companies"", ""subniche"": ""technical recruiting"", ""reasoning"": ""The agency focuses on engineering, software/IT, manufacturing and logistics talent, so the most acute buyer pain is from tech leaders like CTOs who struggle to fill senior developer roles quickly"", ""company_type"": ""mid-market technology firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""BlackTree Technical Group""}",2026-03-23 18:06:15.713861+00
22,47,10,"{""dreamICP"": ""CFOs and COOs at regional banks"", ""subniche"": ""banking executive recruiting"", ""reasoning"": ""We chose senior banking leaders such as CFOs and COOs at regional banks because AJ Consultants focuses on executive search for finance institutions"", ""company_type"": ""regional banks"", ""painTheySolve"": ""keep burning weeks on senior banking hires that fall through"", ""clean_company_name"": ""AJ Consultants""}",2026-03-23 18:06:23.819431+00
23,48,10,"{""dreamICP"": ""founders scaling tech teams"", ""subniche"": ""executive search"", ""reasoning"": ""Trova emphasizes leadership and executive placements for tech firms, so I chose founders at fast‑growing tech startups as the primary buyer type"", ""company_type"": ""fast-growing tech startups"", ""painTheySolve"": ""keep burning weeks on senior hires that fall through"", ""clean_company_name"": ""Trova""}",2026-03-23 18:06:30.962599+00
24,49,10,"{""dreamICP"": ""CTOs at Fortune 500 companies"", ""subniche"": ""telecom staffing"", ""reasoning"": ""Engel specializes in telecom IT staff augmentation for large enterprises, so the most relevant buyers are CTOs at Fortune 500 companies"", ""company_type"": ""Fortune 500 companies"", ""painTheySolve"": ""keep burning weeks on telecom talent hires that fall through"", ""clean_company_name"": ""Engel Consulting""}",2026-03-23 18:06:39.110843+00
25,50,10,"{""dreamICP"": ""CTOs at mid-market aerospace and high-tech firms"", ""subniche"": ""engineering staffing"", ""reasoning"": ""I chose the engineering side because CTOs hiring senior engineers often complain about long, failed searches, which matches the agency's focus on senior-level software/hardware talent"", ""company_type"": ""mid-market aerospace and high-tech companies"", ""painTheySolve"": ""keep burning weeks on senior engineer hires that never materialize"", ""clean_company_name"": ""Carlton National Resources""}",2026-03-23 18:06:47.752391+00
26,51,10,"{""dreamICP"": ""special education directors at school districts"", ""subniche"": ""special education staffing"", ""reasoning"": ""the agency focuses on staffing special education roles, so the primary buyers are the decision‑makers in school districts who need those professionals"", ""company_type"": ""public K‑12 school districts"", ""painTheySolve"": ""keep waiting months for qualified special ed therapists that never show up"", ""clean_company_name"": ""National Recruiting Consultants""}",2026-03-23 18:06:55.911135+00
27,53,11,"{""dreamICP"": ""special education directors at school districts"", ""subniche"": ""special education staffing"", ""reasoning"": ""We focus on the school district decision‑makers who hire special‑education staff because that is the agency’s primary niche."", ""company_type"": ""K-12 school districts"", ""painTheySolve"": ""keep burning weeks trying to fill special education roles"", ""clean_company_name"": ""National Recruiting Consultants""}",2026-03-23 18:25:43.374157+00
28,52,11,"{""dreamICP"": ""general counsels at mid-sized law firms"", ""subniche"": ""legal staffing"", ""reasoning"": ""The agency focuses on legal staffing, so the primary buyers are the decision‑makers at law firms who need to hire attorneys and staff."", ""company_type"": ""mid-sized law firms"", ""painTheySolve"": ""keep burning weeks on senior associate hires that fall through"", ""clean_company_name"": ""Gibson Arnold & Associates""}",2026-03-23 18:25:43.375901+00
29,54,11,"{""dreamICP"": ""CTOs at mid-market tech firms"", ""subniche"": ""technical recruiting"", ""reasoning"": ""Chose CTOs at mid‑market tech firms because the agency’s focus on engineering and software talent makes this buyer group the most acute pain point around senior dev hires."", ""company_type"": ""mid-market tech firms"", ""painTheySolve"": ""keep burning weeks on senior dev hires that fall through"", ""clean_company_name"": ""BlackTree Technical Group""}",2026-03-23 18:25:43.454695+00
30,55,11,"{""dreamICP"": ""founders scaling tech teams"", ""subniche"": ""tech executive recruiting"", ""reasoning"": ""Trova serves many industries but its focus on fast‑growing tech firms makes founders hiring senior talent the most acute buyer segment"", ""company_type"": ""tech startups"", ""painTheySolve"": ""keep burning weeks on senior hires that never close"", ""clean_company_name"": ""Trova""}",2026-03-23 18:25:43.486357+00
