idx,company_name,company_website,old_primary,old_secondary,old_confidence,old_reason,new_primary,new_secondary,new_reasoning,agree,website_snippet
0,Rhino Julie,http://www.rhinosquad.org,staffing,rpo,8,"The company’s core offering is providing Filipino virtual assistants on a contract basis to US entrepreneurs, which aligns with staffing. It also handles hiring, onboarding, and management of those assistants, indicating an RPO‑like function as a secondary service.",staffing,"sourcing, rpo","The firm markets virtual assistant staffing for US entrepreneurs, explicitly targeting small‑to‑medium businesses, which points to a clear niche (high specificity). No single industry dominates the language, so multi_industry is used with 'other' as secondary. The service model is ongoing staffing (contract) and they also source and manage assistants, fitting the staffing primary service.",YES,"Rhino Squad connects Filipino virtual assistants with US-based entrepreneurs to help them off-load tasks at a lower cost, allowing clients to focus on their core business activities. The company specializes in providing virtual assistant services, emphasizing that if a task can be done on a computer"
1,Virtdrop,http://www.virtdrop.com,permanent_recruiting,sourcing,8,"The company explicitly places full‑time Virtual Assistants (permanent hires) for agencies and emphasizes sourcing/vetting talent, indicating permanent recruiting as the core offering with sourcing as an additional service.",permanent_recruiting,sourcing,"The text repeatedly emphasizes providing full‑time virtual assistants to staffing agencies, indicating a clear niche (permanent placement of VAs). Industry signals point to the 'other' category with a sub‑industry of virtual assistants. No size or geography details are given, so client type is marked as mixed, and confidence is moderate.",YES,Virtdrop.com offers a blueprint designed to help staffing agencies scale their operations by implementing systems that allow agency owners to focus on growth rather than administrative tasks. The company emphasizes the importance of investing in growth rather than minimizing administrative costs. Th
2,Advisors,http://www.staffingadvisors.com,executive_search,,9,"The description repeatedly emphasizes executive search (CEO and other executive placements) as the core offering; no other listed services (staffing, permanent recruiting, RPO, sourcing) are mentioned.",executive_search,permanent_recruiting,"The firm explicitly markets executive search for nonprofits, associations, foundations and social enterprises, indicating a clear niche (high specificity). This mission‑driven focus maps to the 'other' industry with a nonprofit sub‑industry. Client budgets and sector mentions suggest they serve a range of organization sizes, leading to a mixed client type and a nonprofit_large profile.",YES,"Staffing Advisors is an executive search firm based in Washington D.C. that specializes in recruiting for associations, certification boards, foundations, nonprofits, and social enterprises. The firm focuses on building high-performing teams through competency-driven executive recruiting, organizati"
3,Advisors,http://www.staffingadvisors.com,executive_search,,9,"The description repeatedly refers to the firm as an 'executive search' firm and highlights CEO and other senior‑level placements; no other recruiting services (staffing, permanent recruiting, RPO, sourcing) are mentioned.",executive_search,,"The firm explicitly markets executive search for associations, foundations, and nonprofits, indicating a clear nonprofit focus (primary_industry=other, sub_industry=nonprofit). Their client budget range and lack of geographic limits suggest they serve both large and smaller mission‑driven entities, leading to a mixed client_type and mixed_types profile. No pricing model is disclosed, so business_model is not_specified.",YES,"Staffing Advisors is an executive search firm based in Washington D.C. that specializes in recruiting for associations, certification boards, foundations, nonprofits, and social enterprises. The firm focuses on building high-performing teams through competency-driven executive recruiting, organizati"
4,Ciprani,http://www.cipraniconsulting.com,permanent_recruiting,sourcing,7,"The firm emphasizes recruiting and training talent for real‑estate agents, implying full‑time placement rather than temporary staffing. It also highlights locating candidates, which aligns with sourcing. No explicit mention of contract staffing, RPO, or executive‑level searches.",permanent_recruiting,sourcing,"The text repeatedly emphasizes recruiting and training for real estate agents, making real estate the dominant industry (mapped to other > real_estate_services). Services are centered on permanent placement with added sourcing, and the target clients are small professional firms, leading to an SMB professional profile. No pricing or geographic details are provided, so business model and geography remain unspecified.",YES,"Ciprani Consulting is a business consulting firm that specializes in recruiting and consulting talent for employers and job seekers. The company offers several services, including recruiting, business consulting, and a la carte services, which involve systematic screening processes applicable in var"
5,Cynergists,http://www.cynergists.com,staffing,,8,"The description explicitly positions MyLG Virtual Assistants as a provider of virtual assistants that act as an extension of a client’s team, which aligns with the definition of staffing (temporary/contract workforce). No other recruiting‑related services are mentioned.",staffing,,"The firm explicitly offers virtual assistants (human staffing) and AI‑agent automation, indicating a staffing focus. Client examples span sports, automotive, and real estate, with no single sector dominating, leading to a multi‑industry classification. The mix of client sizes yields a mixed client type and profile.",YES,"Cynergists designs, deploys, and manages AI agents that handle revenue, operations, and internal workflows for businesses. The company specializes in creating AI agents that operate independently while working together as a coordinated team. Their process includes four steps: Mission Briefing, where"
6,Mamba VP,http://www.mambavp.com,staffing,,7,"The description emphasizes providing dedicated virtual workers on demand, which aligns with temporary/contract workforce staffing. No explicit mention of permanent placement, executive search, RPO, or sourcing.",staffing,sourcing,"The text only describes providing virtual staff without industry or client size specifics, leading to a generic staffing classification and multi-industry label. Lack of contract or fee details results in a not_specified business model, and the broad target audience yields mixed client type and profile.",YES,"Mamba Virtual Placement specializes in connecting businesses with trained virtual workers. The company focuses on providing dedicated personnel to help businesses grow, emphasizing a thorough hiring and training process to ensure quality placements. Mamba Virtual Placement guarantees the suitability"
7,OE Consulting,http://www.oeconsulting.com,executive_search,,9,The firm explicitly states it 'specializes in executive search' and integrates it with strategic work; no other listed services map to the allowed categories.,executive_search,,"The firm repeatedly mentions executive search for CEOs and leadership roles, positioning it as an executive_search provider. All client examples are foundations, universities, NGOs, and impact‑investing entities, indicating a clear focus on the nonprofit/impact sector, thus primary_industry = other with sub_industry = nonprofit. No pricing model is disclosed, so business_model is not_specified. The niche is specific enough to be high specificity, and the client mix spans large nonprofits and mission‑driven organizations, leading to a mixed company_type and nonprofit_large profile.",YES,"OE Consulting specializes in executive search, leadership development, succession planning, strategic planning, organizational design, and impact evaluation. The firm primarily serves family offices, foundations, nonprofits, companies, and impact investing firms, focusing on creating growth, impact,"
8,Titan Talent,http://www.titantalentpartners.com,executive_search,staffing,9,"The company explicitly markets itself as a ""Retained Executive Search Firm"" and focuses on C‑suite and director‑level hires. This is the dominant service. It also mentions ""volume recruitment,"" which aligns with high‑volume, temporary/contract hiring – the definition of staffing – so staffing is added as a secondary service. No clear evidence of permanent recruiting, RPO, or pure sourcing is provided.",executive_search,"staffing, sourcing","The firm clearly positions itself as a retained executive search provider for C‑suite roles, indicating a high‑specificity niche. No industry or client‑size signals are present, so a multi‑industry classification is used and the client profile defaults to large private enterprises based on the Fortune 500 experience mentioned.",YES,"Titan Talent Partners specializes in executive search services, focusing on recruiting for director-level to C-suite positions, including roles such as CEO, CIO, CFO, CHRO, CRO, and CPO. The company offers various recruitment solutions, including retained executive search, contained search, diversit"
9,Carlson,http://www.carlsongroupllc.com,executive_search,,9,"The company explicitly describes itself as an executive search firm focusing on C‑level and senior management placements; no other services (staffing, RPO, sourcing, etc.) are mentioned.",executive_search,,"The firm explicitly markets executive search services (retained model) for finance/insurance and construction, indicating multiple industries without a clear dominant one, leading to a multi_industry classification. The focus on senior leadership suggests large enterprise clients, likely private, and the lack of geographic detail leaves geography unknown.",YES,Carlson Group is an executive search firm specializing in recruiting top talent for executive and mid-level management roles. The company focuses on understanding the unique culture and needs of its clients to ensure the right leadership fit. Their services include developing and executing custom re
