company_name,company_website,primary_service,secondary_services,business_model,primary_industry,secondary_industries,sub_industry,specificity,company_type,client_profile,company_stage,geography,confidence,detected_signals,reasoning
Rhino Julie,http://www.rhinosquad.org,staffing,"sourcing, rpo",contract,multi_industry,other,virtual_assistants,high,smb,smb_general,not_applicable,national,8,"US‑based entrepreneurs, small to medium‑sized businesses, virtual assistant services, Filipino virtual assistants, cost‑saving focus, ""Super Rhino Team"" training, onboarding and task management, emphasis on off‑loading computer‑based tasks, no sector‑specific client mentions.","The firm markets virtual assistant staffing for US entrepreneurs, explicitly targeting small‑to‑medium businesses, which points to a clear niche (high specificity). No single industry dominates the language, so multi_industry is used with 'other' as secondary. The service model is ongoing staffing (contract) and they also source and manage assistants, fitting the staffing primary service."
Virtdrop,http://www.virtdrop.com,permanent_recruiting,sourcing,not_specified,other,,virtual_assistants,high,mixed,mixed_types,not_applicable,unknown,7,"mentions staffing agencies as target clients; offers full‑time Virtual Assistants (VAs) to agencies; focuses on admin and operations tasks; provides VA sourcing, vetting, onboarding, and retention; talks about a pool of talent with recruitment specialties; references virtual assistant scene, integration, and scaling agencies.","The text repeatedly emphasizes providing full‑time virtual assistants to staffing agencies, indicating a clear niche (permanent placement of VAs). Industry signals point to the 'other' category with a sub‑industry of virtual assistants. No size or geography details are given, so client type is marked as mixed, and confidence is moderate."
Advisors,http://www.staffingadvisors.com,executive_search,permanent_recruiting,retained,other,"healthcare, education",nonprofit,high,mixed,nonprofit_large,not_applicable,national,9,"executive search firm, Washington D.C., associations, certification boards, foundations, nonprofits, social enterprises, mission‑driven organizations, CEO placements, 100% retention, guarantee periods, budgets $2.5M‑$240M, healthcare sector, education sector, United States focus, consulting, competency‑driven recruiting","The firm explicitly markets executive search for nonprofits, associations, foundations and social enterprises, indicating a clear niche (high specificity). This mission‑driven focus maps to the 'other' industry with a nonprofit sub‑industry. Client budgets and sector mentions suggest they serve a range of organization sizes, leading to a mixed client type and a nonprofit_large profile."
Advisors,http://www.staffingadvisors.com,executive_search,,not_specified,other,,nonprofit,high,mixed,mixed_types,not_applicable,national,9,"associations, certification boards, foundations, nonprofits, social enterprises, mission‑driven organizations, executive search for CEOs and executive directors, budgets $2.5M‑$240M, United States focus, Washington D.C. location, 20+ years experience, unconditional replacement guarantee, consulting services.","The firm explicitly markets executive search for associations, foundations, and nonprofits, indicating a clear nonprofit focus (primary_industry=other, sub_industry=nonprofit). Their client budget range and lack of geographic limits suggest they serve both large and smaller mission‑driven entities, leading to a mixed client_type and mixed_types profile. No pricing model is disclosed, so business_model is not_specified."
Ciprani,http://www.cipraniconsulting.com,permanent_recruiting,sourcing,not_specified,other,,real_estate_services,high,smb,smb_professional,not_applicable,unknown,7,mentions recruiting and training talent for the Real Estate industry; systematic screening applicable in healthcare and employment; business consulting and a la carte services; focus on real estate agents needing trained staff; no geographic or client size specifics.,"The text repeatedly emphasizes recruiting and training for real estate agents, making real estate the dominant industry (mapped to other > real_estate_services). Services are centered on permanent placement with added sourcing, and the target clients are small professional firms, leading to an SMB professional profile. No pricing or geographic details are provided, so business model and geography remain unspecified."
Cynergists,http://www.cynergists.com,staffing,,not_specified,multi_industry,"manufacturing, other",automotive,medium,mixed,mixed_types,not_applicable,unknown,7,"mentions serving sports organizations (NFL, NBA), automotive companies, real estate firms; offers AI agents for revenue, operations, workflows; provides virtual assistants for solopreneurs to large businesses; no geographic limits stated.","The firm explicitly offers virtual assistants (human staffing) and AI‑agent automation, indicating a staffing focus. Client examples span sports, automotive, and real estate, with no single sector dominating, leading to a multi‑industry classification. The mix of client sizes yields a mixed client type and profile."
Mamba VP,http://www.mambavp.com,staffing,sourcing,not_specified,multi_industry,,,low,mixed,mixed_types,not_applicable,unknown,6,"mentions virtual workers, virtual assistance, dedicated personnel for businesses, no specific industry, role, or client size mentioned; generic language about honesty, integrity, and quality placements.","The text only describes providing virtual staff without industry or client size specifics, leading to a generic staffing classification and multi-industry label. Lack of contract or fee details results in a not_specified business model, and the broad target audience yields mixed client type and profile."
OE Consulting,http://www.oeconsulting.com,executive_search,,not_specified,other,,nonprofit,high,mixed,nonprofit_large,not_applicable,unknown,8,"family offices, foundations, nonprofits, impact investing firms, University’s Contemplative Science Center, Bears Ears Partnership, Charles Stewart Mott Foundation, University of Virginia, Aspen Institute, Energy Foundation, Regenerative Social Finance, World Resources Institute, Kenneth Rainin Foundation, Sierra Club Foundation, impact evaluation, strategic planning for mission-driven organizations","The firm repeatedly mentions executive search for CEOs and leadership roles, positioning it as an executive_search provider. All client examples are foundations, universities, NGOs, and impact‑investing entities, indicating a clear focus on the nonprofit/impact sector, thus primary_industry = other with sub_industry = nonprofit. No pricing model is disclosed, so business_model is not_specified. The niche is specific enough to be high specificity, and the client mix spans large nonprofits and mission‑driven organizations, leading to a mixed company_type and nonprofit_large profile."
Titan Talent,http://www.titantalentpartners.com,executive_search,"staffing, sourcing",retained,multi_industry,,,high,mixed,enterprise_private,not_applicable,unknown,7,"Executive search focus; C‑suite and director‑level roles (CEO, CIO, CFO, CHRO, CRO, CPO); retained, contained, diversity, project and volume recruitment offerings; emphasis on difficult, ambiguous, confidential, obscure and rescue searches; 100% women‑owned; speed and quality metrics; experience with Fortune 500 companies; no explicit industry or client‑size mentions.","The firm clearly positions itself as a retained executive search provider for C‑suite roles, indicating a high‑specificity niche. No industry or client‑size signals are present, so a multi‑industry classification is used and the client profile defaults to large private enterprises based on the Fortune 500 experience mentioned."
Carlson,http://www.carlsongroupllc.com,executive_search,,retained,multi_industry,"finance, construction",insurance,medium,enterprise,enterprise_private,not_applicable,unknown,8,"mentions finance, insurance, construction sectors; focuses on executive and C‑level roles; mid‑level management; high‑touch consultative approach; targets companies seeking CEOs and senior leaders; no geographic or budget specifics.","The firm explicitly markets executive search services (retained model) for finance/insurance and construction, indicating multiple industries without a clear dominant one, leading to a multi_industry classification. The focus on senior leadership suggests large enterprise clients, likely private, and the lack of geographic detail leaves geography unknown."
IveSearch,http://www.ivesearch.com,executive_search,,contingency,multi_industry,"finance, retail, healthcare",,medium,mixed,mixed_types,not_applicable,national,8,"Executive recruitment for mid‑senior level roles; functional focus on Marketing, Sales, HR, Operations, Engineering, Supply Chain/Logistics, Legal, Accounting/Finance; industry focus on Consumer Packaged Goods (CPG), Retail, Financial Services, Pharmaceutical; mentions both contingency and retained searches; operates locally and nationally across the United States; no explicit client size or stage signals.","The firm explicitly lists four distinct industries (CPG, Retail, Financial Services, Pharmaceutical) with no single one dominating, leading to a multi‑industry classification. It offers executive search services on both contingency and retained bases, indicating a contingency business model. Client type signals are broad, covering various sizes, so a mixed profile is most appropriate."
NextOne,http://www.nextonestaffing.com,executive_search,staffing,not_specified,multi_industry,other,,medium,mixed,mixed_types,not_applicable,global,7,"mentions executive search and staffing, C-level talent placement, serves small startups to global enterprises, based in Santa Rosa California, no specific industry or sector references, emphasizes customized cultural fit and ethical practices, BBB accreditation, award recognitions.","The firm explicitly markets executive search (C‑level) and staffing services, but provides no industry focus, leading to a multi‑industry classification with 'other' as secondary. Client types range from startups to large enterprises, so the profile is mixed. Geographic scope is inferred as global from the mention of serving global enterprises."
Excel Talent,http://www.exceltalentsolutions.com,executive_search,permanent_recruiting,not_specified,multi_industry,,,low,mixed,mixed_types,not_applicable,national,7,no explicit industry or niche mentions; description is generic executive and professional recruiting across all sectors; no client size or sector signals.,"The firm advertises executive and professional recruiting with retained and contingency options, indicating executive_search as the core service. No industry-specific language appears, so the industry is classified as multi_industry with low specificity. Client type is mixed because no size or sector is highlighted, and the geography is national due to a nationwide service claim."
Gerard Daniels,http://www.gerard-daniels.com,executive_search,,retained,multi_industry,,,low,enterprise,enterprise_private,not_applicable,global,8,"The description mentions serving ""various industries and sectors"" and highlights leadership and board needs, but provides no specific industry references such as healthcare, technology, finance, etc.","The firm offers executive search and board consulting, typical of retained executive search models. No industry is singled out, so multi_industry is used. The language targets large, leading companies, indicating an enterprise client base, and the global office footprint points to a worldwide geography."
CareerList,http://www.performsearch.com,executive_search,,not_specified,unknown,,,low,unknown,unknown_type,not_applicable,unknown,6,"no industry signals — generic executive search language only; mentions executive search, curated community of rising talent, advisory services, leadership roles; no client size, sector, or geographic clues.","The firm only describes executive search and advisory services without naming any target industries, client sizes, or regions, leading to an unknown industry and client profile classification. The lack of specific signals results in low specificity and a moderate confidence level."
InPeak Demand,http://www.inpeakdemand.com,permanent_recruiting,,not_specified,other,,renewables,high,unknown,unknown_type,not_applicable,unknown,7,"renewable energy, solar energy, energy storage, electric vehicles, sustainability, focus on hiring leaders for renewable sector","The description repeatedly emphasizes renewable energy, solar, storage, and EVs, establishing a clear niche in the renewables sector (primary_industry 'other' with sub_industry 'renewables'). The service is framed as connecting organizations with qualified leaders, suggesting permanent placement rather than staffing or RPO. No details on pricing, contract type, or client size are given, so business model and client classifications remain unknown."
Slate,http://www.joinslate.com,executive_search,,retained,finance,manufacturing,banking,high,mid_market,mid_market_private,not_applicable,national,8,"financial services, banks, insurance firms, wealth management companies, private equity firms, industrial firms, smaller market cities, U.S. Heartland, executive-level talent, diversity, equity, and inclusion consulting, organizational strategy development, retained executive search, focus on smaller market cultures","The firm explicitly states it is a retained executive search firm serving financial services (banks, insurance, wealth management, private equity) in smaller U.S. markets, indicating a clear finance focus. The retained model and niche on smaller market cities give a high‑specificity classification. Client size appears mid‑market rather than enterprise or SMB, leading to the mid_market_private profile."
