_idx,first_name,_company_name,_company_website,_country,primary_service,sub_industry,client_profile,matrix_key,matrix_pain_used,custom_personalisation,full_email
0,,First Logistics,,,executive_search,pharma,mixed_types,executive_search__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

worth intro'ing you?"
1,,allectio consulting group,,,executive_search,it_services,enterprise_private,executive_search__it_services,finding a GM who can actually grow revenue not just manage delivery,figured i'd reach out - i talk to a lot of IT services CEOs and they keep saying they can't find a GM who actually grows revenue not just manages delivery,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT services CEOs and they keep saying they can't find a GM who actually grows revenue not just manages delivery

worth intro'ing you?"
2,,Marksmen,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
3,,Sowelo Consulting sp. z o.o. sp. k.,,,executive_search,it_services,vc_early,executive_search__it_services,finding a GM who can actually grow revenue not just manage delivery,figured i'd reach out - i talk to a lot of CEOs in IT services and they keep saying they can't find a GM who actually grows revenue,"your name came up on my end,

figured i'd reach out - i talk to a lot of CEOs in IT services and they keep saying they can't find a GM who actually grows revenue

worth intro'ing you?"
4,,Tripsitta Ltd,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
5,,Rosman Talent Solutions SRL,,,executive_search,null,unknown_type,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface wrong candidates

worth intro'ing you?"
6,,SjukvårdsMäklarna Sverige AB,,,staffing,hospitals,enterprise_public,staffing__hospitals,can't fill last-minute shifts without paying agency premiums,figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums

worth intro'ing you?"
7,,WE CARE,,,staffing,hospitals,mixed_types,staffing__hospitals,can't fill last-minute shifts without paying agency premiums,figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in hospitals and they keep saying they can't fill last-minute shifts without paying agency premiums

worth intro'ing you?"
8,,1dea,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads at IT services firms and they keep saying they keep filling the same roles every year as people leave,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads at IT services firms and they keep saying they keep filling the same roles every year as people leave

worth intro'ing you?"
9,,Violet Consulting Ltd.,,,permanent_recruiting,ai_ml,mixed_types,permanent_recruiting__ai_ml,everyone wants ML engineers but nobody can find ones who ship,figured i'd reach out - i talk to a lot of AI CTOs and they keep saying they can't find ML engineers who actually ship in time,"your name came up on my end,

figured i'd reach out - i talk to a lot of AI CTOs and they keep saying they can't find ML engineers who actually ship in time

worth intro'ing you?"
